change_id,week,change_type,component_area,synthetic_component_id,branch_type,validation_level,environment_profile,files_changed,lines_added,lines_deleted,modules_touched,author_experience_months,prior_failures_90d,historical_failure_rate,pipeline_duration_min,coverage_delta_pct,tests_impacted_count,critical_files_touched,documentation_refs_count,open_defects_linked,release_pressure_score,reviewer_count,validation_gap_count,readiness_score,recommended_validation_scope,failure_category,high_risk_change
CHG-00001,2,configuration,functional_area_b,CMP-043,development,integrated_checks,profile_standard,6,140,41,1,40.1,1,0.23,23.1,-0.76,3,0,2.0,0,60.2,2,0,80.8,focused_validation,none,0
CHG-00002,16,configuration,functional_area_a,CMP-001,development,basic_checks,profile_standard,8,327,78,2,15.0,3,0.184,41.4,0.09,36,0,3.0,1,30.4,7,2,71.9,expanded_validation,none,0
CHG-00003,14,test,functional_area_d,CMP-008,development,integrated_checks,profile_extended,11,4532,1296,2,50.1,0,0.177,21.8,-3.78,20,0,0.0,0,50.4,2,1,64.0,expanded_validation,none,0
CHG-00004,9,refactor,functional_area_b,CMP-002,development,broad_regression_checks,profile_standard,13,193,55,3,31.2,1,0.19,37.8,-1.35,15,0,1.0,1,3.9,1,3,59.0,broad_validation,none,0
CHG-00005,9,feature,functional_area_g,CMP-004,development,readiness_review,profile_extended,6,107,136,1,24.7,0,0.31,22.7,0.78,25,0,2.0,0,57.0,1,0,81.0,focused_validation,none,0
CHG-00006,18,feature,functional_area_a,CMP-005,development,broad_regression_checks,profile_extended,11,137,80,2,26.9,1,0.346,26.5,0.27,35,0,0.0,1,45.2,2,1,71.1,expanded_validation,none,0
CHG-00007,2,configuration,functional_area_a,CMP-004,development,basic_checks,profile_standard,15,228,190,3,33.7,0,0.231,45.1,,79,1,1.0,0,48.4,1,1,51.9,broad_validation,none,0
CHG-00008,14,bugfix,functional_area_b,CMP-063,release_candidate,broad_regression_checks,profile_standard,8,99,126,2,32.9,0,0.048,37.4,-1.15,39,0,1.0,0,83.3,3,0,74.9,expanded_validation,none,0
CHG-00009,5,bugfix,functional_area_b,CMP-008,release_candidate,broad_regression_checks,profile_standard,8,217,84,2,67.6,0,0.394,17.2,-3.55,22,0,2.0,0,52.0,4,0,76.4,expanded_validation,none,0
CHG-00010,2,bugfix,functional_area_b,CMP-067,release_candidate,integrated_checks,profile_dependency,9,168,130,2,34.5,1,0.055,23.5,-2.01,36,0,2.0,2,52.7,2,1,55.2,broad_validation,none,0
CHG-00011,11,refactor,functional_area_e,CMP-024,release_candidate,integrated_checks,profile_standard,8,1082,2213,1,33.7,0,0.233,37.0,,28,0,1.0,0,40.2,3,0,69.2,expanded_validation,none,0
CHG-00012,20,test,functional_area_b,CMP-003,release_candidate,integrated_checks,profile_extended,7,118,73,1,29.1,0,0.13,21.2,-0.69,21,0,2.0,1,64.8,3,1,74.7,expanded_validation,insufficient_evidence,0
CHG-00013,15,configuration,functional_area_e,CMP-007,development,integrated_checks,profile_standard,12,149,112,3,37.9,0,0.331,30.4,0.72,60,1,2.0,2,50.9,1,2,59.6,broad_validation,compatibility_issue,1
CHG-00014,16,bugfix,functional_area_g,CMP-004,development,component_checks,profile_extended,15,121,150,4,52.9,1,0.203,37.1,-2.19,72,0,0.0,0,63.6,1,2,40.1,readiness_review,insufficient_evidence,1
CHG-00015,15,bugfix,functional_area_e,CMP-043,development,basic_checks,profile_standard,75,1058,539,9,8.1,0,0.137,69.6,-6.95,366,1,3.0,0,51.4,5,2,21.6,readiness_review,compatibility_issue,1
CHG-00016,16,configuration,functional_area_e,CMP-001,development,broad_regression_checks,profile_standard,10,79,133,1,7.4,2,0.216,24.4,,42,0,2.0,0,57.3,1,0,96.0,focused_validation,none,0
CHG-00017,11,bugfix,functional_area_c,CMP-082,development,readiness_review,profile_distributed,8,84,57,2,28.4,0,0.255,27.9,0.38,23,0,,1,60.3,1,1,96.9,focused_validation,none,0
CHG-00018,3,configuration,functional_area_a,CMP-011,release_candidate,broad_regression_checks,profile_distributed,5,122,85,1,19.3,2,0.251,71.0,-1.99,409,0,2.0,0,69.8,3,0,64.6,expanded_validation,none,0
CHG-00019,17,refactor,functional_area_b,CMP-013,release_candidate,component_checks,profile_standard,5,194,27,1,32.6,2,0.129,34.8,-2.28,37,0,0.0,0,61.9,2,1,54.2,broad_validation,none,0
CHG-00020,10,feature,functional_area_h,CMP-008,hotfix,basic_checks,profile_standard,7,132,156,1,33.1,2,0.342,43.3,1.5,32,0,3.0,2,78.6,2,4,30.1,readiness_review,insufficient_evidence,1
CHG-00021,11,feature,functional_area_e,CMP-009,hotfix,component_checks,profile_dependency,7,186,70,2,,0,0.165,61.1,0.94,36,0,1.0,1,80.3,2,1,60.8,broad_validation,none,0
