feature,coefficient,abs_coefficient,permutation_pr_auc,permutation_drop_pr_auc
validation_gap_count,1.9250712318180543,1.9250712318180543,0.7500381206166912,0.22993074779273737
prior_failures_90d,1.6368626943018842,1.6368626943018842,0.8365604524460131,0.14340841596341547
release_pressure_score,0.9991594491682918,0.9991594491682918,0.8842918441988942,0.09567702421053437
log1p_modules_touched,0.9915292514788946,0.9915292514788946,0.9019313987273104,0.07803746968211811
critical_files_touched,0.6719968622412273,0.6719968622412273,0.9232594499170659,0.05670941849236266
log1p_files_changed,0.5524288175790061,0.5524288175790061,0.9620619785726733,0.017906889836755258
branch_type_development,-0.5489862180074369,0.5489862180074369,0.9736659190640773,0.00630294934535125
log1p_open_defects_linked,0.5237728865815781,0.5237728865815781,0.9506097208859805,0.029359147523448037
coverage_delta_pct,-0.5213205862423093,0.5213205862423093,0.9592439204661835,0.020724947943245087
log1p_change_density_lines_per_file,-0.37055944520729106,0.37055944520729106,0.9737169520750169,0.006251916334411689
branch_type_hotfix,0.36116048977600973,0.36116048977600973,0.9787593522578749,0.0012095161515536246
defects_per_module,0.3408408041630266,0.3408408041630266,0.9709389472337934,0.00902992117563517
change_type_test,-0.333153161685872,0.333153161685872,0.9797219984174389,0.00024686999198964
is_high_pressure,0.31581550147297127,0.31581550147297127,0.9740420363564359,0.005926832052992603
change_type_feature,0.257864905147007,0.257864905147007,0.9787545993982012,0.0012142690112273424
log1p_tests_impacted_count,0.24647347679066983,0.24647347679066983,0.9763621048029864,0.003606763606442187
environment_profile_profile_extended,-0.21551828883432717,0.21551828883432717,0.9799179812456099,5.088716381862479e-05
component_area_functional_area_b,-0.21198000120527102,0.21198000120527102,0.9787715431164552,0.0011973252929733391
change_type_dependency,0.20721985831588846,0.20721985831588846,0.9794667192869619,0.0005021491224665997
is_large_change,0.19461248981270524,0.19461248981270524,0.9792536180087553,0.0007152504006732174
log1p_tests_per_file_changed,-0.1923786759495446,0.1923786759495446,0.9787729079159215,0.001195960493507009
component_area_functional_area_c,-0.18629082373708794,0.18629082373708794,0.9794737509922393,0.000495117417189217
environment_profile_profile_dependency,0.18037308191268414,0.18037308191268414,0.980278246246727,-0.00030937783729845236
environment_profile_profile_standard,-0.1715390769140437,0.1715390769140437,0.9776194008446571,0.0023494675647713903
component_area_functional_area_d,0.16983797262374867,0.16983797262374867,0.9789916590334116,0.0009772093760169742
change_type_bugfix,-0.15061567275624976,0.15061567275624976,0.9791077651441228,0.0008611032653057515
log1p_lines_added,0.1421602288833661,0.1421602288833661,0.9801016839562087,-0.00013281554678012952
log1p_pipeline_duration_min,0.13686927119703163,0.13686927119703163,0.9793302108973364,0.0006386575120921334
synthetic_component_grouped_CMP_002,-0.13561210366001863,0.13561210366001863,0.9805124391136848,-0.0005435707042562576
validation_level_readiness_review,-0.13092133714905158,0.13092133714905158,0.9803649202022648,-0.000396051792836305
component_area_functional_area_a,-0.12555348384567597,0.12555348384567597,0.9802475569303826,-0.0002786885209540291
validation_gap_ratio,0.11577830064350537,0.11577830064350537,0.980851374751471,-0.000882506342042455
change_type_refactor,-0.10711057735006123,0.10711057735006123,0.9790800411388447,0.0008888272705838141
change_type_configuration,-0.10455374763479765,0.10455374763479765,0.9793589873165233,0.0006098810929052734
reviewer_count,-0.10308471620436209,0.10308471620436209,0.9780274568120219,0.0019414115974066837
validation_level_broad_regression_checks,-0.1026597496106492,0.1026597496106492,0.9810245199454236,-0.0010556515359950724
week,0.08171547506501695,0.08171547506501695,0.9809156959746705,-0.0009468275652420033
synthetic_component_grouped_CMP_003,0.07920665172735705,0.07920665172735705,0.9801025949209903,-0.0001337265115617381
synthetic_component_grouped_CMP_014,0.07712536509452367,0.07712536509452367,0.9799688684094285,0.0
component_area_functional_area_f,0.07611620233316861,0.07611620233316861,0.9800577740484329,-8.890563900432191e-05
author_experience_months_was_missing,-0.07471120724448657,0.07471120724448657,0.9797895581516866,0.0001793102577419825
synthetic_component_grouped_CMP_010,0.06827817697029617,0.06827817697029617,0.979771311839595,0.00019755656983355685
historical_failure_rate,-0.059867506472420284,0.059867506472420284,0.980616168097053,-0.0006472996876244475
synthetic_component_grouped_CMP_012,-0.05930127486507202,0.05930127486507202,0.9800336986981394,-6.483028871084873e-05
synthetic_component_grouped_other_component,-0.05482325637978907,0.05482325637978907,0.9802526609237409,-0.0002837925143123199
branch_type_release_candidate,-0.044976651365267885,0.044976651365267885,0.9799828512401916,-1.3982830763037413e-05
log1p_lines_deleted,0.0421582608246556,0.0421582608246556,0.9791110951189927,0.0008577732904357926
synthetic_component_grouped_CMP_015,0.03091492683584663,0.03091492683584663,0.9800309642271912,-6.209581776261963e-05
environment_profile_profile_distributed,-0.026488545077653462,0.026488545077653462,0.98026224868825,-0.00029338027882142015
validation_level_component_checks,-0.02334791827909743,0.02334791827909743,0.979901649634255,6.7218775173572e-05
author_experience_months,-0.022507802689384102,0.022507802689384102,0.9794888192614969,0.0004800491479316493
validation_level_integrated_checks,0.02233231433028564,0.02233231433028564,0.980073114439915,-0.00010424603048642123
synthetic_component_grouped_CMP_016,-0.01948436067114933,0.01948436067114933,0.9799688684094285,0.0
